username,author id,created,text,retwc,hashtag,followers,friends,polarity,subjectivity
Donald J. Trump,25073877,2020-05-28 02:07:37,Texas Supreme Court: Lack of immunity to COVID-19 alone not enough to vote by mail https://t.co/rAZVRF4nkj  Big win... https://t.co/bzGmvbW7hk,17622,None,80513180,46,0.26666666666666666,0.3333333333333333
Andy Slavitt @ 🏡,1383272101,2020-05-29 03:44:21,"COVID-19 may be under control in Florida but they have an unprecedented ""pneumonia"" crisis.",16335,None,456627,881,0.6,0.9
Janice Dean,111400999,2020-05-28 10:24:20,Dear @NYGovCuomo now you're trying to blame nursing homes that were obeying your orders to accept Covid recovering... https://t.co/GkBOE21xtL,5040,None,151576,5108,0.0,0.0
Hillary Clinton,1339835893,2020-05-28 19:23:47,"Over the last 24 hours, the 100,000th American died of COVID-19 on Trump's watch.

He's spent the last 24 hours sha... https://t.co/kPNqduLHZj",13633,None,27912355,833,-0.025,0.058333333333333334
Paul Brand,93419198,2020-05-28 17:05:17,EXCLUSIVE: ITV News has obtained evidence that it was *always* the plan to discharge Covid-19 patients into care ho... https://t.co/uSkpk1WCkG,13399,None,59080,2066,0.0,0.0
Carole Cadwalladr,722242009,2020-05-27 22:43:41,This is astonishing. Hot on heels of Newsnight comes this. The government is now literally using our money to *pay*... https://t.co/2dXbPQBye7,15939,None,516173,3671,0.375,0.925
Howard Dean,603025587,2020-05-28 17:10:41,This is really important. Florida is cooking the books on COVID-19 deaths. Look at the excess death rate. In Florid... https://t.co/TTPOhxElOe,6120,None,156196,155,0.4,1.0
SkyNews,7587032,2020-05-29 11:49:12,Coronavirus: Monkeys 'escape with COVID-19 samples' after attacking lab assistant https://t.co/neUMb0nuhy,5981,None,6134922,28,0.0,0.0
Dr Rosena Allin-Khan,2382227424,2020-05-28 08:26:17,"What an insult.

At least 37,000 people have died of Covid-19 in the UK. Govt abandoned community testing. With a p... https://t.co/RO52x7kqi0",7964,None,164897,6283,-0.3,0.4
Ryan Fournier,166751745,2020-05-28 14:16:34,"The Texas Supreme Court has ruled that a lack of immunity to COVID-19 is NOT enough to force voting by mail.

This... https://t.co/zBR3CyD8v6",7072,None,901185,316696,0.0,0.5
Morgan J. Freeman,24113137,2020-05-29 02:57:32,Imagine if Trump had acted as quickly when Covid-19 broke out as he did when his Tweets got fact-checked.,5669,None,196159,385,0.3333333333333333,0.5
Attorney General Ken Paxton,45840174,2020-05-27 22:32:49,"BREAKING from the Supreme Court of Texas:

""We agree with the State that a lack of immunity to COVID-19 is not itse... https://t.co/cAIeZB2p4c",6816,None,56324,2138,0.0,0.0
Brit Hume,112047805,2020-05-27 21:41:02,The Most Important COVID-19 Statistic: 43% Of U.S. Deaths Are From 0.6% Of The Population https://t.co/LQcJLNFvp6,5013,None,1216680,790,0.45,0.75
Brian Sims,369613362,2020-05-27 23:30:39,3) Republican Leadership must be investigated by the Attorney General to determine which laws and ethics codes have... https://t.co/ufpFQFUYlg,4817,None,86997,1485,0.05000000000000002,0.5
Summer Lee,917389190328877056,2020-05-27 21:08:03,Today we learned from a media tip that at least 1 House Republican tested positive for Covid-19. He's been in commi... https://t.co/ocPO0cBuvN,5102,None,12567,1064,-0.03636363636363636,0.4727272727272727
